latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
34.55439,112.25974,313.22,1.19,1.09,2025-04-23,0232,T,36,6.1NRT,300.55,6.85,D
34.26199,113.84617,314.99,1.46,1.19,2025-04-23,0232,T,41,6.1NRT,298.77,10.88,D
34.41646,112.75326,309.95,1.27,1.12,2025-04-23,0232,T,55,6.1NRT,298.48,6.26,D
34.28053,113.29153,308.5,1.36,1.15,2025-04-23,0232,T,29,6.1NRT,295.98,4.31,D
34.074,114.20964,314.72,1.55,1.23,2025-04-23,0232,T,41,6.1NRT,298.19,15.58,D
34.30477,112.56985,315.66,1.24,1.11,2025-04-23,0232,T,51,6.1NRT,301.53,9.43,D
34.25944,112.52526,315.83,1.24,1.11,2025-04-23,0232,T,58,6.1NRT,301.95,11.59,D
34.38836,111.64382,315.28,1.13,1.06,2025-04-23,0232,T,59,6.1NRT,301.45,6.72,D
34.53196,109.02286,311.28,1,1,2025-04-23,0232,T,54,6.1NRT,297.38,3.88,D
34.52639,108.2738,313.22,1.01,1.01,2025-04-23,0232,T,64,6.1NRT,300.46,5.34,D
34.40596,108.73505,310.11,1,1,2025-04-23,0232,T,52,6.1NRT,297.92,3.16,D
32.95473,114.58148,311.82,1.73,1.29,2025-04-23,0232,T,28,6.1NRT,296.06,14.67,D
33.22811,112.97929,316.19,1.36,1.16,2025-04-23,0232,T,75,6.1NRT,293.32,14.76,D
32.64234,115.6391,308.61,2.06,1.4,2025-04-23,0232,T,30,6.1NRT,295.08,12.3,D
32.79155,114.0954,304.61,1.62,1.25,2025-04-23,0232,T,17,6.1NRT,288.72,7.31,D
33.07284,112.15579,317.17,1.24,1.11,2025-04-23,0232,T,71,6.1NRT,297.03,12.35,D
33.03458,112.37575,309.05,1.28,1.12,2025-04-23,0232,T,33,6.1NRT,291.88,7.32,D
33.04569,111.82946,306.81,1.2,1.09,2025-04-23,0232,T,38,6.1NRT,286.99,4.9,D
32.78759,113.29537,308.92,1.45,1.19,2025-04-23,0232,T,63,6.1NRT,294.88,8.56,D
32.05195,116.89201,309.23,2.58,1.54,2025-04-23,0232,T,40,6.1NRT,295.68,22.04,D
32.95061,112.07458,310.65,1.24,1.1,2025-04-23,0232,T,45,6.1NRT,295.27,8.7,D
32.73789,113.29259,313.77,1.45,1.19,2025-04-23,0232,T,42,6.1NRT,296.63,12.32,D
32.0387,116.88818,307.96,2.58,1.54,2025-04-23,0232,T,36,6.1NRT,295.84,19.58,D
32.70697,113.28475,309.39,1.45,1.19,2025-04-23,0232,T,21,6.1NRT,294.11,7.42,D
32.79685,112.72565,309.04,1.34,1.15,2025-04-23,0232,T,64,6.1NRT,295.54,8.72,D
32.73638,113.06329,308.57,1.41,1.17,2025-04-23,0232,T,63,6.1NRT,294.58,9.5,D
32.63561,113.04642,305.81,1.41,1.18,2025-04-23,0232,T,57,6.1NRT,291.66,6.41,D
32.56522,112.75095,309.13,1.36,1.16,2025-04-23,0232,T,66,6.1NRT,294.33,9.31,D
32.52964,112.59853,307.65,1.34,1.15,2025-04-23,0232,T,63,6.1NRT,289.98,9.02,D
32.50102,112.11604,306.72,1.26,1.12,2025-04-23,0232,T,62,6.1NRT,290.06,7.02,D
32.52578,111.83794,307.76,1.22,1.1,2025-04-23,0232,T,66,6.1NRT,293.38,6.76,D
30.19894,112.60718,302.45,1.47,1.2,2025-04-23,0232,T,42,6.1NRT,282.76,7.1,D
30.99355,105.46552,311.44,1.16,1.07,2025-04-23,0232,T,63,6.1NRT,294.6,7.85,D
22.91753,112.16678,314.55,1.92,1.35,2025-04-23,0234,T,47,6.1NRT,290.75,16.97,D
